ㄚ	a1
ㄏㄤˊ	hang2
ㄏㄤˋ	hang4
ㄏㄠ	hao1
ㄏㄠˊ	hao2
ㄏㄠˇ	hao3
ㄏㄠˋ	hao4
˙ㄏㄠ	hao5
ㄏㄜ	he1
ㄏㄜˊ	he2
ㄏㄜˋ	he4
˙ㄏㄜ	he5
ㄏㄟ	hei1
ㄏㄟˇ	hei3
ㄏㄣ	hen1
ㄏㄣˊ	hen2
ㄏㄣˇ	hen3
ㄏㄣˋ	hen4
ㄏㄥ	heng1
ㄏㄥˊ	heng2
ㄏㄥˋ	heng4
˙ㄏㄥ	heng5
ㄏㄨㄥ	hong1
ㄏㄨㄥˊ	hong2
ㄏㄨㄥˇ	hong3
ㄏㄨㄥˋ	hong4
ㄏㄡ	hou1
ㄏㄡˊ	hou2
ㄏㄡˇ	hou3
ㄏㄡˋ	hou4
˙ㄏㄡ	hou5
ㄏㄨ	hu1
ㄏㄨˊ	hu2
ㄏㄨˇ	hu3
ㄏㄨˋ	hu4
˙ㄏㄨ	hu5
ㄏㄨㄚ	hua1
ㄏㄨㄚˊ	hua2
ㄏㄨㄚˋ	hua4
˙ㄏㄨㄚ	hua5
ㄏㄨㄞˊ	huai2
ㄏㄨㄞˋ	huai4
ㄏㄨㄢ	huan1
ㄏㄨㄢˊ	huan2
ㄏㄨㄢˇ	huan3
ㄏㄨㄢˋ	huan4
˙ㄏㄨㄢ	huan5
ㄏㄨㄤ	huang1
ㄏㄨㄤˊ	huang2
ㄏㄨㄤˇ	huang3
ㄏㄨㄤˋ	huang4
˙ㄏㄨㄤ	huang5
ㄏㄨㄟ	hui1
ㄏㄨㄟˊ	hui2
ㄏㄨㄟˇ	hui3
ㄏㄨㄟˋ	hui4
˙ㄏㄨㄟ	hui5
ㄏㄨㄣ	hun1
ㄏㄨㄣˊ	hun2
ㄏㄨㄣˇ	hun3
ㄏㄨㄣˋ	hun4
˙ㄏㄨㄣ	hun5
ㄏㄨㄛ	huo1
ㄏㄨㄛˊ	huo2
ㄏㄨㄛˇ	huo3
ㄏㄨㄛˋ	huo4
˙ㄏㄨㄛ	huo5
